City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
225,pangoa,-12.1167,-73.0,76.23,89,100,2.55,PE,1731785572
226,mabaruma,8.2,-59.7833,85.05,69,35,5.5,GY,1731785574
227,mount gambier,-37.8333,140.7667,48.83,98,100,5.79,AU,1731785438
228,usinsk,65.9939,57.5281,22.48,97,100,8.75,RU,1731785576
229,pisco,-13.7,-76.2167,71.65,73,0,12.66,PE,1731785577
230,alice springs,-23.7,133.8833,72.95,38,48,1.14,AU,1731785407
231,biasca,46.3597,8.9697,47.14,66,2,3.76,CH,1731785580
232,xiva,41.3783,60.3639,45.25,62,100,7.92,UZ,1731785581
233,la'ie,21.6477,-157.9253,79.99,76,9,11.01,US,1731785583
234,trincomalee,8.5711,81.2335,82.65,75,100,8.57,LK,1731785584
235,st. john's,47.5649,-52.7093,52.16,99,100,14.97,CA,1731785415
236,sinabang,2.4803,96.3801,76.59,93,100,12.06,ID,1731785586
237,remire-montjoly,4.9167,-52.2667,87.84,70,40,17.27,GF,1731785588
238,bairnsdale,-37.8333,147.6167,79.05,51,100,10.87,AU,1731785589
239,motueka,-41.1333,173.0167,52.11,72,96,1.74,NZ,1731785590
240,anadyr,64.75,177.4833,-1.7,84,0,6.71,RU,1731785591
241,biga,40.2281,27.2422,50.23,77,100,18.52,TR,1731785593
242,hadibu,12.65,54.0333,79.03,85,29,10.27,YE,1731785594
243,amahai,-3.3333,128.9167,78.3,81,98,3.42,ID,1731785595
244,debre werk',10.6667,38.1667,54.01,49,2,5.12,ET,1731785596
245,cabedelo,-6.9811,-34.8339,84.87,68,70,13.53,BR,1731785599
246,ouesso,1.6136,16.0517,73.92,88,69,3.15,CG,1731785601
247,fangshan,39.6983,115.9925,45.3,24,15,7.9,CN,1731785602
248,lesparre-medoc,45.3,-0.9333,50.5,87,40,1.88,FR,1731785603
249,kargopol',61.5071,38.9456,43.3,87,100,15.3,RU,1731785604
250,garcia,25.8167,-100.5833,77.45,53,14,7.65,MX,1731785606
251,ambovombe,-25.1667,46.0833,80.04,66,100,5.82,MG,1731785607
252,pariaman,-0.619,100.12,73.45,91,100,6.42,ID,1731785608
253,happy valley-goose bay,53.3168,-60.3315,39.51,93,100,10.36,CA,1731785609
254,ilhabela,-23.7781,-45.3581,73.96,92,71,8.28,BR,1731785611
255,la passe,45.5549,-0.8967,52.7,79,12,3.0,FR,1731785612
256,turpan,42.9333,89.1667,36.37,43,3,1.12,CN,1731785613
257,izki,22.9333,57.7667,74.95,51,0,3.89,OM,1731785615
258,saint-joseph,-21.3667,55.6167,75.58,77,27,10.45,RE,1731785616
259,kisangani,0.5167,25.2,68.4,100,100,0.69,CD,1731785617
260,severo-yeniseyskiy,60.3725,93.0408,18.79,89,100,10.76,RU,1731785618
261,chepelare,41.7333,24.6833,28.17,94,10,1.88,BG,1731785620
262,banamba,13.55,-7.45,83.43,29,3,8.84,ML,1731785621
263,san patricio,28.017,-97.5169,84.15,43,12,14.14,US,1731785622
264,zhytkavichy,52.2168,27.8561,42.42,89,100,10.33,BY,1731785623
265,coquimbo,-29.9533,-71.3436,65.93,68,20,11.5,CL,1731785625
266,reggane,26.7158,0.1714,78.15,14,2,5.32,DZ,1731785626
267,elyria,41.3684,-82.1077,51.35,74,97,1.01,US,1731785627
268,el kseur,36.6794,4.8555,61.65,82,20,9.22,DZ,1731785629
269,satipo,-11.2522,-74.6386,87.17,52,98,3.49,PE,1731785630
270,margaret river,-33.95,115.0667,48.52,79,6,5.97,AU,1731785631
271,veraval,20.9,70.3667,76.77,46,0,7.45,IN,1731785632
272,cidreira,-30.1811,-50.2056,72.63,84,2,21.72,BR,1731785634
273,yartsevo,55.0667,32.6964,42.89,88,100,12.86,RU,1731785635
274,kilju,40.9642,129.3278,39.49,47,100,8.7,KP,1731785636
275,port mathurin,-19.6833,63.4167,75.67,71,51,22.53,MU,1731785638
276,aasiaat,68.7098,-52.8699,5.76,84,100,6.64,GL,1731785639
277,sittwe,20.15,92.9,71.82,80,0,6.22,MM,1731785640
278,kendari,-3.945,122.4989,76.08,95,100,1.01,ID,1731785641
279,hithadhoo,-0.6,73.0833,83.08,77,97,13.91,MV,1731785643
280,saint john,45.2727,-66.0677,45.63,93,100,9.22,CA,1731785644
281,tutoia,-2.7619,-42.2744,81.12,78,14,14.07,BR,1731785645
282,awjilah,29.1081,21.2869,65.62,73,3,9.89,LY,1731785648
283,lompoc,34.6391,-120.4579,64.53,38,0,16.11,US,1731785415
284,puerto ayora,-0.7393,-90.3518,73.92,67,26,11.54,EC,1731785650
285,nikolayevsk-on-amure,53.1406,140.73,15.31,99,89,3.89,RU,1731785652
286,dabai,11.4765,5.2063,73.71,17,5,7.49,NG,1731785653
287,muli,2.9167,73.5667,82.44,71,16,2.95,MV,1731785654
288,kodiak,57.79,-152.4072,29.71,59,0,21.85,US,1731785655
289,souillac,-20.5167,57.5167,77.38,78,75,10.36,MU,1731785657
290,anjiang,27.3194,110.1031,63.73,80,89,5.86,CN,1731785658
291,tarazona de la mancha,39.2123,-1.9491,51.96,87,33,7.58,ES,1731785659
292,lohr am main,49.9936,9.5783,40.41,84,61,3.38,DE,1731785661
293,lethem,3.3803,-59.7968,86.85,54,100,4.83,GY,1731785662
294,new plymouth,-39.0667,174.0833,49.32,100,36,15.52,NZ,1731785663
295,pangkalanbuun,-2.6833,111.6167,73.99,100,100,1.66,ID,1731785664
296,jiwani,25.05,61.7417,80.1,65,0,7.9,PK,1731785666
297,karratha,-20.7377,116.8463,81.07,50,0,6.87,AU,1731785667
298,sinan,34.8262,126.1086,56.88,72,100,32.35,KR,1731785668
299,harstad,68.799,16.5293,34.16,97,100,14.0,NO,1731785671
300,bathsheba,13.2167,-59.5167,86.61,74,40,14.97,BB,1731785672
301,wolvega,52.8755,5.9969,49.98,61,100,9.01,NL,1731785673
302,iskateley,67.6803,53.1512,11.75,99,87,5.32,RU,1731785675
303,barcelos,41.5388,-8.6151,58.37,77,16,6.4,PT,1731785676
304,eatonton,33.3268,-83.3885,69.39,62,0,3.74,US,1731785679
305,acapulco de juarez,16.8634,-99.8901,84.02,74,75,11.5,MX,1731785655
306,port macquarie,-31.4333,152.9167,69.08,88,0,1.99,AU,1731785681
307,luanda,-8.8368,13.2343,80.6,78,40,11.5,AO,1731785682
308,visakhapatnam,17.69,83.2093,75.09,83,40,2.3,IN,1731785684
309,jose maria morelos,30.8066,-112.684,65.44,28,12,7.72,MX,1731785685
310,tsarevo,42.1667,27.85,48.11,68,99,10.22,BG,1731785686
311,cedar city,37.6775,-113.0619,36.39,79,100,5.75,US,1731785689
312,cayeli,41.0923,40.7292,50.49,87,100,2.01,TR,1731785690
313,gizo,-8.103,156.8419,82.18,78,95,8.43,SB,1731785691
314,south park township,40.2986,-79.994,50.92,68,100,8.05,US,1731785693
315,chinde,26.8212,87.7095,63.25,79,0,4.74,NP,1731785695
316,weno,7.4515,151.8468,82.35,78,40,5.75,FM,1731785697
317,chibougamau,49.9168,-74.3659,40.62,42,0,12.66,CA,1731785698
318,funafuti,-8.5243,179.1942,82.4,83,75,0.0,TV,1731785699
319,noumea,-22.2763,166.4572,80.02,99,100,10.4,NC,1731785700
320,vilyuysk,63.7553,121.6247,-20.25,100,98,2.98,RU,1731785702
321,nikol'sk,53.7189,46.0712,31.35,86,100,13.69,RU,1731785704
322,dalandzadgad,43.5708,104.425,26.13,24,0,2.08,MN,1731785706
323,sumbe,-11.2061,13.8437,77.29,90,32,6.35,AO,1731785707
324,choele choel,-39.2667,-65.6833,75.13,11,100,6.55,AR,1731785708
325,yichang,30.7144,111.2847,57.65,77,100,1.07,CN,1731785710
326,canete,-37.8,-73.4,57.49,58,0,11.54,CL,1731785711
327,pakokku,21.3333,95.1,70.56,79,2,1.88,MM,1731785712
328,sanctuary point,-35.1114,150.629,67.35,84,93,11.86,AU,1731785713
329,isangel,-19.55,169.2667,78.4,78,27,4.74,VU,1731785715
330,meadow lakes,61.6247,-149.6011,24.67,94,100,0.0,US,1731785716
331,sibut,5.718,19.0739,76.3,61,99,2.66,CF,1731785717
332,port saint john's,-31.6229,29.5448,70.63,88,88,16.44,ZA,1731785720
333,sant'antioco,39.0664,8.4522,57.25,63,10,4.27,IT,1731785721
334,seeb,23.6703,58.1891,80.69,74,0,3.44,OM,1731785722
335,rio grande,-32.035,-52.0986,76.8,76,0,16.26,BR,1731785724
336,san luis,-33.295,-66.3356,75.74,34,93,21.32,AR,1731785725
337,fale old settlement,-9.3852,-171.2468,81.55,73,57,6.6,TK,1731785726
338,ataq,14.5377,46.8319,69.42,40,8,2.28,YE,1731785728
339,vandalia,39.8906,-84.1988,51.84,73,100,8.05,US,1731785729
340,villamontes,-21.25,-63.5,98.73,22,91,15.08,BO,1731785730
341,calvinia,-31.4707,19.776,68.67,33,0,5.06,ZA,1731785732
342,gorshechnoye,51.5244,38.0365,32.67,92,9,12.01,RU,1731785733
343,bambari,5.768,20.6757,75.25,73,100,3.4,CF,1731785734
344,manismata,-2.4667,111.0333,74.91,98,100,2.15,ID,1731785736
345,tromso,69.6496,18.957,37.42,75,75,17.27,NO,1731785737
346,barano d'ischia,40.718,13.9309,57.7,56,0,6.89,IT,1731785738
347,port alfred,-33.5906,26.891,62.19,93,14,6.13,ZA,1731785739
348,flin flon,54.7682,-101.865,30.04,93,100,2.3,CA,1731785741
349,filingue,14.3521,3.3168,80.73,11,0,10.76,NE,1731785742
350,fada,7.25,4.0667,74.14,80,65,1.16,NG,1731785743
351,ketchikan,55.3422,-131.6461,45.07,81,40,12.66,US,1731785744
352,nuuk,64.1835,-51.7216,30.81,100,75,2.3,GL,1731785746
353,mumbwa,-14.9783,27.0619,69.26,77,75,5.23,ZM,1731785747
354,gunjur,13.2019,-16.7339,80.67,65,100,4.61,GM,1731785748
355,tuba city,36.135,-111.2399,43.21,39,21,0.51,US,1731785750
356,queenstown,-31.8976,26.8753,62.13,84,66,6.06,ZA,1731785751
357,ambodifotatra,-16.9833,49.85,78.49,79,18,9.37,MG,1731785752
358,amlame,7.4667,0.9,78.12,40,7,1.21,TG,1731785754
359,nuku'alofa,-21.1333,-175.2,75.54,94,20,5.75,TO,1731785755
360,iranshahr,27.2025,60.6848,71.94,37,0,4.61,IR,1731785756
361,pindushi,62.9152,34.58,42.01,70,100,15.64,RU,1731785758
362,aleksandrov gay,50.147,48.5704,37.09,98,100,6.76,RU,1731785759
363,bambanglipuro,-7.95,110.2833,77.43,90,100,3.74,ID,1731785760
364,hereford,52.0568,-2.7148,48.99,87,100,9.35,GB,1731785763
365,kiunga,-6.1219,141.2906,74.35,99,73,0.85,PG,1731785764
